Song ID, Song Score
DGhPGH2YROA,0
lpiB2wMc49g,0
lp-EO5I60KA,0
9YJk3tTDSXA,0
t4vLhL2jNH0,0
mk48xRzuNvA,0
aUpRZuyznEE,0
KQ0c7R3eHqE,0
eEB3d1Rdh8E,0
X5mcY8ecs8I,1
BPNTC7uZYrI,0
cLqlA8iHxMM,0
sJXZ9Dok7u8,0
g4hGRvs6HHU,0
vjexVOf-s2Y,0
kyLuzKbgXAs,0
JALbemLw3G4,0
6FNHe3kf8_s,0
HV7mLcsUp5U,0
eEd77Sh6Rmo,0
pEiz5naTrXk,0
LHvYrn3FAgI,0
CLiXUT3MS34,0
13ARO0HDZsQ,0
0qwPgq7UJZk,0
vBGiFtb8Rpw,0
Ep1PTvHlMwg,0
HPg_auEBL1Y,0
B7h7c_L_Yp4,0
dDR1DFtik0E,0
ARXhBQ8hdlE,0
smn0HOvwoZ8,0
xkdPRcY0k4o,0
mSfH2AuhXfw,0
UrEfQ6UrqhU,0
i5ZeXTed5Q8,0
yp3f-Upb6oA,1
aRsOBFhNjVM,0
p5-ZgpwNKdA,0
fvYCyIkIA3g,0
AUsTbiiSUOs,0
D5j0FfGcTx0,0
h84Aw7h2G9U,0
A_MjCqQoLLA,0
8OwhJZut44I,0
PEnJbjBuxnw,0
lrzKT-dFUjE,0
W5Uq5I7gI80,0
BLar2xEJpfo,0
b7nlAsHoOxo,0
kbpzfrz3hXc,0
OOzTZ06v520,0
uJ1iryf3pbE,0
ILe2yxO-TPI,0
XW_itpLynf4,0
qhD3jKUXlGU,0
z0i-1BmrAcg,0
ZL0iMJfd4_A,0
BFJXJ-fTv6M,0
o5ozNwRGwiw,0
WFw2Ij1t2PU,0
HlSopqiw0k0,0
eeiH2Yidi98,0
dPU3fB96Zm8,0
jODRcFq1bfI,0
d2Ltl8Af0fA,0
45UUUEjNSM8,0
L83ceYS2w3g,0
i0gqu38rdYM,0
li6dhoAENjo,0
TZ5inpB_kzE,0
